[06:39:00] Searching for collection named: 'a - non-SSRN Screening'
[06:39:03]   Found collection key: X5MG34TK
[06:39:03] Fetching items from collection X5MG34TK...
[05:04:55]   [2060/2952] discard=1163 maybe=535 keep=362 err=0 rate=0.03/s eta=582min
[05:11:15]   [2070/2952] discard=1171 maybe=537 keep=362 err=0 rate=0.03/s eta=576min
[05:17:38]   [2080/2952] discard=1178 maybe=540 keep=362 err=0 rate=0.03/s eta=569min
[05:24:22]   [2090/2952] discard=1186 maybe=541 keep=363 err=0 rate=0.03/s eta=562min
[05:31:00]   [2100/2952] discard=1191 maybe=543 keep=366 err=0 rate=0.03/s eta=556min
[05:37:31]   [2110/2952] discard=1197 maybe=546 keep=367 err=0 rate=0.03/s eta=549min
[05:44:17]   [2120/2952] discard=1204 maybe=549 keep=367 err=0 rate=0.03/s eta=543min
[05:50:43]   [2130/2952] discard=1212 maybe=551 keep=367 err=0 rate=0.03/s eta=536min
[05:57:36]   [2140/2952] discard=1215 maybe=555 keep=370 err=0 rate=0.03/s eta=530min
[06:04:00]   [2150/2952] discard=1222 maybe=556 keep=372 err=0 rate=0.03/s eta=524min
[06:10:36]   [2160/2952] discard=1230 maybe=557 keep=373 err=0 rate=0.03/s eta=517min
[06:17:19]   [2170/2952] discard=1234 maybe=560 keep=376 err=0 rate=0.03/s eta=511min
[06:23:43]   [2180/2952] discard=1239 maybe=562 keep=379 err=0 rate=0.03/s eta=504min
[06:30:19]   [2190/2952] discard=1245 maybe=565 keep=380 err=0 rate=0.03/s eta=497min
[06:36:57]   [2200/2952] discard=1248 maybe=570 keep=382 err=0 rate=0.03/s eta=491min
[06:43:28]   [2210/2952] discard=1254 maybe=573 keep=383 err=0 rate=0.03/s eta=484min
[06:50:57]   [2220/2952] discard=1262 maybe=575 keep=383 err=0 rate=0.03/s eta=478min
[06:57:18]   [2230/2952] discard=1268 maybe=578 keep=384 err=0 rate=0.03/s eta=472min
[07:04:15]   [2240/2952] discard=1274 maybe=581 keep=385 err=0 rate=0.03/s eta=465min
[07:10:34]   [2250/2952] discard=1282 maybe=583 keep=385 err=0 rate=0.03/s eta=459min
[07:17:08]   [2260/2952] discard=1287 maybe=587 keep=386 err=0 rate=0.03/s eta=452min
[07:23:41]   [2270/2952] discard=1294 maybe=589 keep=387 err=0 rate=0.03/s eta=446min
[07:30:19]   [2280/2952] discard=1297 maybe=595 keep=388 err=0 rate=0.03/s eta=439min
[07:36:44]   [2290/2952] discard=1302 maybe=599 keep=389 err=0 rate=0.03/s eta=433min
[07:43:06]   [2300/2952] discard=1309 maybe=600 keep=391 err=0 rate=0.03/s eta=426min
[07:49:56]   [2310/2952] discard=1315 maybe=604 keep=391 err=0 rate=0.03/s eta=419min
[07:56:28]   [2320/2952] discard=1321 maybe=607 keep=392 err=0 rate=0.03/s eta=413min
[08:03:00]   [2330/2952] discard=1328 maybe=609 keep=393 err=0 rate=0.03/s eta=406min
[08:09:15]   [2340/2952] discard=1329 maybe=610 keep=401 err=0 rate=0.03/s eta=400min
[08:15:52]   [2350/2952] discard=1329 maybe=611 keep=410 err=0 rate=0.03/s eta=393min
[08:22:19]   [2360/2952] discard=1329 maybe=611 keep=420 err=0 rate=0.03/s eta=387min
[08:28:46]   [2370/2952] discard=1329 maybe=611 keep=430 err=0 rate=0.03/s eta=380min
[08:35:04]   [2380/2952] discard=1329 maybe=615 keep=436 err=0 rate=0.03/s eta=374min
[08:41:17]   [2390/2952] discard=1330 maybe=615 keep=445 err=0 rate=0.03/s eta=367min
[08:47:46]   [2400/2952] discard=1330 maybe=617 keep=453 err=0 rate=0.03/s eta=360min
[08:54:10]   [2410/2952] discard=1330 maybe=618 keep=462 err=0 rate=0.03/s eta=354min
[09:00:39]   [2420/2952] discard=1332 maybe=621 keep=467 err=0 rate=0.03/s eta=347min
[09:07:12]   [2430/2952] discard=1335 maybe=621 keep=474 err=0 rate=0.03/s eta=341min
[09:13:49]   [2440/2952] discard=1337 maybe=624 keep=479 err=0 rate=0.03/s eta=334min
[09:20:20]   [2450/2952] discard=1337 maybe=628 keep=485 err=0 rate=0.03/s eta=328min
[09:26:50]   [2460/2952] discard=1338 maybe=630 keep=492 err=0 rate=0.03/s eta=321min
[09:33:13]   [2470/2952] discard=1339 maybe=631 keep=500 err=0 rate=0.03/s eta=315min
[09:39:49]   [2480/2952] discard=1340 maybe=633 keep=507 err=0 rate=0.03/s eta=308min
[09:46:06]   [2490/2952] discard=1341 maybe=636 keep=513 err=0 rate=0.03/s eta=302min
[09:52:54]   [2500/2952] discard=1341 maybe=639 keep=520 err=0 rate=0.03/s eta=295min
[09:59:14]   [2510/2952] discard=1341 maybe=642 keep=527 err=0 rate=0.03/s eta=289min
[10:05:53]   [2520/2952] discard=1344 maybe=643 keep=533 err=0 rate=0.03/s eta=282min
[10:12:13]   [2530/2952] discard=1344 maybe=644 keep=542 err=0 rate=0.03/s eta=275min
[10:18:45]   [2540/2952] discard=1345 maybe=648 keep=547 err=0 rate=0.03/s eta=269min
[10:25:18]   [2550/2952] discard=1345 maybe=651 keep=554 err=0 rate=0.03/s eta=262min
[10:31:39]   [2560/2952] discard=1346 maybe=652 keep=562 err=0 rate=0.03/s eta=256min
[10:38:14]   [2570/2952] discard=1347 maybe=657 keep=566 err=0 rate=0.03/s eta=249min
[10:44:36]   [2580/2952] discard=1347 maybe=659 keep=574 err=0 rate=0.03/s eta=243min
[10:51:39]   [2590/2952] discard=1347 maybe=663 keep=580 err=0 rate=0.03/s eta=236min
[10:58:11]   [2600/2952] discard=1351 maybe=663 keep=586 err=0 rate=0.03/s eta=230min
[11:04:58]   [2610/2952] discard=1356 maybe=666 keep=588 err=0 rate=0.03/s eta=223min
[11:11:13]   [2620/2952] discard=1363 maybe=669 keep=588 err=0 rate=0.03/s eta=217min
[11:17:59]   [2630/2952] discard=1366 maybe=670 keep=594 err=0 rate=0.03/s eta=210min
[11:24:35]   [2640/2952] discard=1366 maybe=670 keep=604 err=0 rate=0.03/s eta=204min
[11:30:52]   [2650/2952] discard=1366 maybe=673 keep=611 err=0 rate=0.03/s eta=197min
[11:37:23]   [2660/2952] discard=1368 maybe=674 keep=618 err=0 rate=0.03/s eta=191min
[11:44:21]   [2670/2952] discard=1371 maybe=677 keep=622 err=0 rate=0.03/s eta=184min
[11:50:52]   [2680/2952] discard=1373 maybe=679 keep=628 err=0 rate=0.03/s eta=178min
[11:57:12]   [2690/2952] discard=1376 maybe=680 keep=634 err=0 rate=0.03/s eta=171min
[12:03:57]   [2700/2952] discard=1379 maybe=682 keep=639 err=0 rate=0.03/s eta=165min
[12:10:57]   [2710/2952] discard=1382 maybe=684 keep=644 err=0 rate=0.03/s eta=158min
[12:17:22]   [2720/2952] discard=1385 maybe=686 keep=649 err=0 rate=0.03/s eta=152min
[12:23:41]   [2730/2952] discard=1385 maybe=689 keep=656 err=0 rate=0.03/s eta=145min
